Code,RawLabel,ProcLabel
FR90,Corse-du-Sud,"Corse-Du-Sud, France"
FR91,Seine-Saint-Denis,"Seine-Saint-Denis, France"
FR92,Val-de-Marne,"Val-De-Marne, France"
FR93,Val-d'Oise,"Val-Doise, France"
FR94,Ville de Paris,"Ville De Paris, France"
FR95,Yvelines,"Yvelines, France"
FR96,Haute-Corse,"Haute-Corse, France"
FR97,Aquitaine,"Aquitaine, France"
FR98,Auvergne,"Auvergne, France"
FR99,Basse-Normandie,"Basse-Normandie, France"
FRA1,Bourgogne,"Bourgogne, France"
FRA2,Bretagne,"Bretagne, France"
FRA3,Centre,"Centre, France"
FRA4,Champagne-Ardenne,"Champagne-Ardenne, France"
FRA5,Corse,"Corse, France"
FRA6,Franche-Comte,"Franche-Comte, France"
FRA7,Haute-Normandie,"Haute-Normandie, France"
FRA8,Ile-de-France,"Ile-De-France, France"
FRA9,Languedoc-Roussillon,"Languedoc-Roussillon, France"
FRB1,Limousin,"Limousin, France"
FRB2,Lorraine,"Lorraine, France"
FRB3,Midi-Pyrenees,"Midi-Pyrenees, France"
FRB4,Nord-Pas-de-Calais,"Nord-Pas-De-Calais, France"
FRB5,Pays de la Loire,"Pays De La Loire, France"
FRB6,Picardie,"Picardie, France"
FRB7,Poitou-Charentes,"Poitou-Charentes, France"
FRB8,Provence-Alpes-Cote d'Azur,"Provence-Alpes-Cote Dazur, France"
FRB9,Rhone-Alpes,"Rhone-Alpes, France"
FRC1,Alsace,"Alsace, France"
FS00,FRENCH SOUTHERN AND ANTARCTIC LANDS,French Southern And Antarctic Lands
GA00,"GAMBIA, THE",Gambia
GA01,Banjul,"Banjul, Gambia"
GA02,Lower River,"Lower River, Gambia"
GA03,Central River,"Central River, Gambia"
GA04,Upper River,"Upper River, Gambia"
GA05,Western,"Western, Gambia"
GA07,North Bank,"North Bank, Gambia"
GB00,GABON,Gabon
GB01,Estuaire,"Estuaire, Gabon"
GB02,Haut-Ogooue,"Haut-Ogooue, Gabon"
GB03,Moyen-Ogooue,"Moyen-Ogooue, Gabon"
GB04,Ngounie,"Ngounie, Gabon"
GB05,Nyanga,"Nyanga, Gabon"
GB06,Ogooue-Ivindo,"Ogooue-Ivindo, Gabon"
GB07,Ogooue-Lolo,"Ogooue-Lolo, Gabon"
GB08,Ogooue-Maritime,"Ogooue-Maritime, Gabon"
GB09,Woleu-Ntem,"Woleu-Ntem, Gabon"
GC00,GERMAN DEMOCRATIC REPUBLIC,German Democratic Republic
GC01,Cottbus,"Cottbus, German Democratic Republic"
GC02,Dresden,"Dresden, German Democratic Republic"
GC03,Erfurt,"Erfurt, German Democratic Republic"
GC04,Frankfurt,"Frankfurt, German Democratic Republic"
GC05,Gera,"Gera, German Democratic Republic"
GC06,Halle,"Halle, German Democratic Republic"
GC07,Karl-Marx-Stadt,"Karl-Marx-Stadt, German Democratic Republic"
GC09,Magdeburg,"Magdeburg, German Democratic Republic"
GC10,Neubrandenburg,"Neubrandenburg, German Democratic Republic"
GC12,Potsdam,"Potsdam, German Democratic Republic"
